MPG,Weight (kg),Model 1976,Model 1970,Horsepower,Acceleration,Displacement,6 cylinders,4 cylinders
18,3504,0,1,130,12,307,0,0
15,3693,0,1,165,11.5,350,0,0
18,3436,0,1,150,11,318,0,0
16,3433,0,1,150,12,304,0,0
17,3449,0,1,140,10.5,302,0,0
15,4341,0,1,198,10,429,0,0
14,4354,0,1,220,9,454,0,0
14,4312,0,1,215,8.5,440,0,0
14,4425,0,1,225,10,455,0,0
15,3850,0,1,190,8.5,390,0,0
15,3563,0,1,170,10,383,0,0
14,3609,0,1,160,8,340,0,0
15,3761,0,1,150,9.5,400,0,0
14,3086,0,1,225,10,455,0,0
24,2372,0,1,95,15,113,0,1
22,2833,0,1,95,15.5,198,1,0
18,2774,0,1,97,15.5,199,1,0
21,2587,0,1,85,16,200,1,0
27,2130,0,1,88,14.5,97,0,1
26,1835,0,1,46,20.5,97,0,1
25,2672,0,1,87,17.5,110,0,1
24,2430,0,1,90,14.5,107,0,1
25,2375,0,1,95,17.5,104,0,1
26,2234,0,1,113,12.5,121,0,1
21,2648,0,1,90,15,199,1,0
10,4615,0,1,215,14,360,0,0
10,4376,0,1,200,15,307,0,0
11,4382,0,1,210,13.5,318,0,0
9,4732,0,1,193,18.5,304,0,0
28,2464,1,0,86,15.5,107,0,1
25,2220,1,0,81,16.9,116,0,1
25,2572,1,0,92,14.9,140,0,1
26,2255,1,0,79,17.7,98,0,1
27,2202,1,0,83,15.3,101,0,1
17.5,4215,1,0,140,13,305,0,0
16,4190,1,0,150,13,318,0,0
15.5,3962,1,0,120,13.9,304,0,0
14.5,4215,1,0,152,12.8,351,0,0
22,3233,1,0,100,15.4,225,1,0
22,3353,1,0,105,14.5,250,1,0
24,3012,1,0,81,17.6,200,1,0
22.5,3085,1,0,90,17.6,232,1,0
29,2035,1,0,52,22.2,85,0,1
24.5,2164,1,0,60,22.1,98,0,1
29,1937,1,0,70,14.2,90,0,1
33,1795,1,0,53,17.4,91,0,1
20,3651,1,0,100,17.7,225,1,0
18,3574,1,0,78,21,250,1,0
18.5,3645,1,0,110,16.2,250,1,0
17.5,3193,1,0,95,17.8,258,1,0
29.5,1825,1,0,71,12.2,97,0,1
32,1990,1,0,70,17,85,0,1
28,2155,1,0,75,16.4,97,0,1
26.5,2565,1,0,72,13.6,140,0,1
20,3150,1,0,102,15.7,130,0,1
13,3940,1,0,150,13.2,318,0,0
19,3270,1,0,88,21.9,120,0,1
19,2930,1,0,108,15.5,156,1,0
16.5,3820,1,0,120,16.7,168,1,0
16.5,4380,1,0,180,12.1,350,0,0
13,4055,1,0,145,12,350,0,0
13,3870,1,0,130,15,302,0,0
13,3755,1,0,150,14,318,0,0
28,2605,0,0,88,19.6,112,0,1
27,2640,0,0,88,18.6,112,0,1
34,2395,0,0,88,18,112,0,1
31,2575,0,0,85,16.2,112,0,1
29,2525,0,0,84,16,135,0,1
27,2735,0,0,90,18,151,0,1
24,2865,0,0,92,16.4,140,0,1
36,1980,0,0,74,15.3,105,0,1
37,2025,0,0,68,18.2,91,0,1
31,1970,0,0,68,17.6,91,0,1
38,2125,0,0,63,14.7,105,0,1
36,2125,0,0,70,17.3,98,0,1
36,2160,0,0,88,14.5,120,0,1
36,2205,0,0,75,14.5,107,0,1
34,2245,0,0,70,16.9,108,0,1
38,1965,0,0,67,15,91,0,1
32,1965,0,0,67,15.7,91,0,1
38,1995,0,0,67,16.2,91,0,1
25,2945,0,0,110,16.4,181,1,0
38,3015,0,0,85,17,262,1,0
26,2585,0,0,92,14.5,156,0,1
22,2835,0,0,112,14.7,232,1,0
32,2665,0,0,96,13.9,144,0,1
36,2370,0,0,84,13,135,0,1
27,2950,0,0,90,17.3,151,0,1
27,2790,0,0,86,15.6,140,0,1
44,2130,0,0,52,24.6,97,0,1
32,2295,0,0,84,11.6,135,0,1
28,2625,0,0,79,18.6,120,0,1
31,2720,0,0,82,19.4,119,0,1
